Title,Year,Keywords,Generated Lay Summary
Bacterial Effector Binding to Ribosomal Protein S3 Subverts NF-κB Function,2009,"['microbiology/cellular', 'microbiology', 'and', 'pathogenesis', 'microbiology/innate', 'immunity']","Title: Bacterial Effector Protein's Role in Disrupting Host Immunity Uncovered

Lay Summary:
Enteric bacterial pathogens, like EHEC, cause foodborne diseases and pose a significant health burden. This study aimed to understand how bacterial effectors modulate host innate immunity. The researchers used various biochemical and cellular assays, including protein interaction studies and animal models.
They found that EHEC's NleH1 and NleH2 proteins bind to human ribosomal protein S3, a subunit of NF-κB transcriptional complexes. NleH1 reduces the nuclear abundance of RPS3, inhibiting NF-κB-dependent transcription, while NleH2 stimulates RPS3-dependent transcription. Deleting nleH1 from E. coli O157:H7 led to a hypervirulent phenotype in piglets.
These findings reveal a new mechanism by which bacteria manipulate the host immune response. Understanding this could help develop new strategies to combat infections caused by these pathogens. 

Keywords: Enteric bacteria, NleH proteins, RPS3, NF-κB, innate immunity "
A Feature-Based Approach to Modeling Protein–DNA Interactions,2008,"['cell', 'biology/gene', 'expression', 'computational', 'biology/sequence', 'motif', 'analysis', 'genetics', 'and', 'genomics/gene', 'expression', 'computational', 'biology', 'genetics', 'and', 'genomics/bioinformatics']","Title: Feature Motif Models: A New Way to Understand Protein–DNA Interactions

Lay Summary:
Precise control of gene expression depends on the interaction between transcription factor proteins (TFs) and DNA. Understanding this interaction is crucial, but current models have limitations. This study aimed to develop a better method for modeling TF-DNA interactions. The researchers introduced feature motif models (FMMs), a new probabilistic approach based on log-linear models. They tested FMMs on synthetic and real data, including human and mouse TF ChIP data. The key findings showed that FMMs can capture complex position dependencies better than the common position specific scoring matrix (PSSM). FMMs also provided more accurate representations of TF binding specificities. These findings could lead to a better understanding of transcriptional regulatory networks and improve motif finding algorithms in the future. 
Keywords: Protein–DNA interactions, Feature motif models, Transcription factors, Position specific scoring matrix "
Selection on the regulation of sympathetic nervous activity in humans and chimpanzees,2018,"['vertebrates', 'animals', 'mammals', 'alleles', 'histone', 'modification', 'primates', 'animal', 'models', 'experimental', 'organism', 'systems', 'sequence', 'motif', 'analysis', 'mammalian', 'genomics', 'epigenetics', 'molecular', 'biology', 'techniques', 'chromatin', 'old', 'world', 'monkeys', 'research', 'and', 'analysis', 'methods', 'rhesus', 'monkeys', 'sequence', 'analysis', 'monkeys', 'artificial', 'gene', 'amplification', 'and', 'extension', 'bioinformatics', 'chromosome', 'biology', 'gene', 'expression', 'chromatin', 'modification', 'molecular', 'biology', 'animal', 'genomics', 'genetic', 'loci', 'macaque', 'eukaryota', 'cell', 'biology', 'polymerase', 'chain', 'reaction', 'database', 'and', 'informatics', 'methods', 'genetics', 'biology', 'and', 'life', 'sciences', 'apes', 'genomics', 'chimpanzees', 'amniotes', 'organisms']","Title: Study Finds Selective Pressure for Enhanced Sympathetic Nervous Activity in Humans and Chimpanzees

Lay Summary:
The research focused on the adrenergic α2C receptor gene (ADRA2C), an inhibitor of the sympathetic nervous system. Previous studies in animals hinted at its role in evolution. This study aimed to see if noncoding regulatory regions of ADRA2C were under selection in humans. 
Researchers compared gene expression, histone modifications, and genetic data across humans, chimpanzees, and other primates. They found that ADRA2C neuronal expression is lower in humans and chimpanzees. A regulatory region with specific polymorphisms was identified; the derived alleles, which likely increase binding of a repressive factor, are fixed in humans and chimpanzees. Signatures of positive selection were detected in humans. 
These findings suggest that there was selective pressure for enhanced sympathetic nervous activity during the evolution of humans and chimpanzees, which may be linked to their tendency for intergroup aggression. 

Keywords: ADRA2C, Sympathetic Nervous System, Primates, Evolution, Positive Selection "
Deep Evolutionary Comparison of Gene Expression Identifies Parallel Recruitment of Trans-Factors in Two Independent Origins of C4 Photosynthesis,2014,"['biochemistry', 'plant', 'biochemistry', 'organismal', 'evolution', 'plant', 'science', 'plant', 'evolution', 'biology', 'and', 'life', 'sciences', 'photosynthesis', 'computational', 'biology', 'evolutionary', 'biology']","Title: Deep Evolutionary Comparison Uncovers Key Factors in C4 Photosynthesis

Lay Summary:
C4 photosynthesis, a complex trait that evolved independently in many plant lineages, boosts productivity. However, it was unknown if different C4 lineages used the same genetic networks. To find out, researchers developed a new method. They compared gene expression in Cleome gynandra and Zea mays, two C4 plants with a distant common ancestor. They identified 3,335 genes with similar expression patterns during leaf development. Also, 18 transcription factors were co-expressed with C4 genes in both species. Moreover, there was overlap in the gene expression of mesophyll and bundle sheath cells. These findings indicate that parallel evolution of trans-factors underlies C4 photosynthesis. This could help engineer the C4 pathway into C3 crops like rice to increase yield.
Keywords: C4 photosynthesis, gene expression, transcription factors, parallel evolution, crop engineering "
Detection of Viral RNA in Tissues following Plasma Clearance from an Ebola Virus Infected Patient,2017,"['medicine', 'and', 'health', 'sciences', 'body', 'fluids', 'messenger', 'rna', 'rna', 'extraction', 'microbiology', 'geographical', 'locations', 'negative-sense', 'rna', 'viruses', 'viruses', 'rna', 'viruses', 'extraction', 'techniques', 'research', 'and', 'analysis', 'methods', 'respiratory', 'physiology', 'sputum', 'mucus', 'viral', 'replication', 'italy', 'people', 'and', 'places', 'biochemistry', 'rna', 'anatomy', 'nucleic', 'acids', 'virology', 'physiology', 'biology', 'and', 'life', 'sciences', 'positive-sense', 'rna', 'viruses', 'europe', 'organisms']","Title: Ebola Virus RNA Persistence in Tissues After Plasma Clearance

Lay Summary:
The 2013 - 2016 Ebola virus (EBOV) epidemic in West Africa spread to other regions. Understanding EBOV infection patterns is vital for new countermeasures and understanding transmission.
This study focused on a healthcare worker in Italy infected with EBOV. It compared levels of EBOV negative sense genomic RNA (neg-RNA) and positive sense RNA (pos-RNA) in the upper and lower respiratory tract and plasma.
The key finding was that pos-RNA and neg-RNAs persisted in the lower respiratory tract specimens even after viral clearance from plasma, hinting at possible local replication. Also, different decay patterns of these RNAs were seen in plasma and respiratory samples.
These findings suggest that the respiratory tract may play a role in EBOV replication. However, more research is needed to understand the clinical significance regarding viral replication, shedding, and potential human-to-human transmission.

Keywords: Ebola virus, Respiratory tract, Viral RNA, Replication"
The Ectodomain of Glycoprotein from the Candid#1 Vaccine Strain of Junin Virus Rendered Machupo Virus Partially Attenuated in Mice Lacking IFN-αβ/γ Receptor,2016,"['vero', 'cells', 'medicine', 'and', 'health', 'sciences', 'enzyme-linked', 'immunoassays', 'immune', 'physiology', 'pathology', 'and', 'laboratory', 'medicine', 'spleen', 'pathogens', 'immunology', 'biological', 'cultures', 'microbiology', 'liver', 'diseases', 'animal', 'models', 'viruses', 'model', 'organisms', 'rna', 'viruses', 'signs', 'and', 'symptoms', 'gastroenterology', 'and', 'hepatology', 'antibodies', 'immunologic', 'techniques', 'research', 'and', 'analysis', 'methods', 'immune', 'system', 'proteins', 'inflammation', 'proteins', 'medical', 'microbiology', 'immunoassays', 'microbial', 'pathogens', 'mouse', 'models', 'cell', 'lines', 'immune', 'response', 'biochemistry', 'diagnostic', 'medicine', 'physiology', 'arenaviruses', 'viral', 'pathogens', 'biology', 'and', 'life', 'sciences', 'fatty', 'liver', 'organisms']","Title: Role of Different Glycoprotein Domains in Attenuating Machupo Virus

Lay Summary:
Machupo virus (MACV) causes Bolivian hemorrhagic fever with no approved treatments or vaccines. Junin virus, a relative, has a live attenuated vaccine strain, Candid#1 (Cd#1). The study aimed to see how different domains of Cd#1 glycoprotein precursor (GPC) affect MACV attenuation. Researchers engineered recombinant MACVs (rMACVs) with different Cd#1 GPC domains. They tested virus growth in cells, stability, and pathogenicity in IFN-αβ/γ R-/- mice, and also measured immune responses. The findings showed that replacing the MACV GPC ectodomain with Cd#1's partially attenuated MACV. Combining the ectodomain with a transmembrane domain mutation led to greater attenuation. All GPC domains seem important for full attenuation and immunogenicity. These results could help develop vaccine candidates for MACV and other New World arenaviruses.

Keywords: Machupo virus, glycoprotein, attenuation, vaccine, arenaviruses "
Point Mutations in Centromeric Histone Induce Post-zygotic Incompatibility and Uniparental Inheritance,2015,[],"Title: Single Amino Acid Changes in Centromeric Histone Can Induce Haploidy in Plants

Lay Summary:
Centromeric histone 3 variant (CENH3) is vital for chromosome segregation. Manipulating CENH3 can affect chromosome segregation, with implications for plant breeding. However, existing methods for haploid induction are complex.
The study aimed to see if single amino acid changes in CENH3 could cause missegregation. Researchers identified possible mutations in conserved CENH3 regions, created mutant alleles, and tested their ability to complement a null mutation and induce haploidy.
Many mutant lines were normal on self-pollination but induced post-zygotic death and uniparental inheritance when crossed with wild-type plants. Whole genome sequencing confirmed the haploid status of progeny. A natural mutant also showed haploid-inducing potential.
These findings offer a simple, non-transgenic way to develop haploid inducers in crops, accelerating breeding and genetic analysis.

Keywords: CENH3, Haploid Inducer, Amino Acid Mutation, Plant Breeding"
Alternative Splicing in the Differentiation of Human Embryonic Stem Cells into Cardiac Precursors,2009,"['computational', 'biology/alternative', 'splicing', 'cell', 'biology/developmental', 'molecular', 'mechanisms', 'genetics', 'and', 'genomics/bioinformatics', 'computational', 'biology/genomics']","Title: Unveiling the Role of Alternative Splicing in Human Embryonic Stem Cell Differentiation

Lay Summary:
Understanding how human embryonic stem cells (hESCs) differentiate is crucial. Alternative splicing, which creates different mRNA transcripts from a single gene, may play a role, but its function in hESCs was unclear.

This study modified an hESC line to isolate pluripotent hESCs and cardiac progenitors. Exon-level microarrays analyzed gene expression in these cells and neural precursors. A new tool, AltAnalyze, identified novel changes in protein domains and microRNA binding sites.

Key findings include that alternative splicing events occur during differentiation and are associated with various pathways. Many events modify protein domains and microRNA binding sites, potentially affecting protein function. Some splicing events were confirmed by RT-PCR.

These findings offer new targets for controlling hESC differentiation. They also suggest a new way that cells may regulate microRNA activity. Future research could validate these predictions and further explore the role of alternative splicing in cell fate.

Keywords: Alternative Splicing, Human Embryonic Stem Cells, Differentiation, Protein Domains, MicroRNA"
Trehalose-6-Phosphate-Mediated Toxicity Determines Essentiality of OtsB2 in Mycobacterium tuberculosis In Vitro and in Mice,2016,"['deletion', 'mutation', 'cellular', 'stress', 'responses', 'chemical', 'compounds', 'disaccharides', 'cell', 'processes', 'carbohydrates', 'organic', 'compounds', 'dna', 'damage', 'mutation', 'genetic', 'elements', 'basic', 'amino', 'acids', 'amino', 'acids', 'dna', 'bacteria', 'trehalose', 'proteins', 'chemistry', 'actinobacteria', 'biochemistry', 'arginine', 'organic', 'chemistry', 'cell', 'biology', 'mycobacterium', 'tuberculosis', 'nucleic', 'acids', 'genetics', 'transposable', 'elements', 'biology', 'and', 'life', 'sciences', 'biosynthesis', 'physical', 'sciences', 'genomics', 'mobile', 'genetic', 'elements', 'organisms']","Title: Trehalose-6-Phosphate Toxicity and OtsB2 Essentiality in Mycobacterium tuberculosis

Lay Summary:
Trehalose biosynthesis is a potential target for new antimicrobials against Mycobacterium tuberculosis. This study aimed to understand the essentiality of OtsB2, a key enzyme in trehalose production. Scientists generated a conditional mutant of M. tuberculosis to silence the otsB2 gene. They found that OtsB2 is essential for in vitro growth and the acute infection phase in mice, but not for chronic infection. Blocking OtsB2 led to toxic T6P accumulation, which upregulated many genes. A genome-wide screen identified genes with synthetic lethal interactions to OtsA, suggesting combination therapies. These findings show that in vitro gene essentiality may not predict in vivo drug target suitability, and highlight OtsB2 as a potential drug target with limitations.
Keywords: Mycobacterium tuberculosis, Trehalose, OtsB2, T6P, Drug Target"
Large-Scale Conformational Changes of Trypanosoma cruzi Proline Racemase Predicted by Accelerated Molecular Dynamics Simulation,2011,"['biomacromolecule-ligand', 'interactions', 'medicinal', 'chemistry', 'enzymes', 'chemical', 'biology', 'biophysics', 'simulations', 'sequence', 'analysis', 'proteins', 'chemistry', 'biology', 'biophysics', 'drug', 'discovery', 'biochemistry', 'biochemical', 'simulations', 'computational', 'chemistry', 'biophysic', 'al', 'simulations', 'computational', 'biology', 'chemical', 'physics']","Title: Study Uncovers Key Conformational Changes in Trypanosoma cruzi Proline Racemase

Lay Summary:
Chagas' disease, caused by the parasite Trypanosoma cruzi, affects millions and current treatments are limited. A key enzyme, T. cruzi proline racemase (TcPR), has emerged as a potential target for new therapies. The study aimed to understand TcPR's conformational changes. Advanced accelerated molecular dynamics simulations were used, along with other analyses. The research found new open conformations of TcPR and how it moves between open and closed states. Potential binding pockets and conserved conformational epitopes, possibly linked to TcPR's ability to trigger a host B-cell response, were identified. These findings improve understanding of TcPR function and provide a basis for future structure-based drug discovery to combat Chagas' disease. 

Keywords: Chagas' disease, TcPR, conformational changes, drug discovery, molecular dynamics"
An Inducible and Reversible Mouse Genetic Rescue System,2008,"['biotechnology', 'genetics', 'and', 'genomics/genetics', 'of', 'disease', 'genetics', 'and', 'genomics/animal', 'genetics', 'genetics', 'and', 'genomics/gene', 'function']","Title: A New Mouse Genetic Rescue System Allows for Inducible and Reversible Gene Control

Lay Summary:
Understanding gene function is a major challenge. Existing methods to study gene function have limitations, like causing early death or complicating phenotype interpretation. This study aimed to develop an inducible and reversible gene knockout and rescue system in mice.
The researchers created two mouse lines: one with a transactivator replacing the target gene and another with the target gene in a tightly regulated locus. When crossed, treating with doxycycline can turn the target gene on or off. They screened for optimal loci and improved regulation with insulators.
The key finding is the successful creation of the iKO system. In ApoE iKO mice, gene expression, cholesterol levels, and atherosclerosis could be reversibly controlled.
This system can help study gene function, especially in diseases like atherosclerosis. It may also be used for various genetic studies and has potential for high-throughput applications. Overall, it's a valuable tool for future genetic research.

Keywords: Genetic Rescue System, Mouse, Gene Expression, Atherosclerosis, Inducible"
Different genotypes of Trypanosoma cruzi produce distinctive placental environment genetic response in chronic experimental infection,2017,"['medicine', 'and', 'health', 'sciences', 'reproductive', 'system', 'body', 'fluids', 'immunology', 'parasitic', 'diseases', 'parasitic', 'protozoans', 'developmental', 'biology', 'protozoans', 'bioassays', 'and', 'physiological', 'analysis', 'research', 'and', 'analysis', 'methods', 'embryology', 'placenta', 'gene', 'expression', 'hematology', 'immune', 'response', 'microarrays', 'trypanosoma', 'cruzi', 'trypanosoma', 'bloodstream', 'infections', 'anatomy', 'blood', 'physiology', 'genetics', 'biology', 'and', 'life', 'sciences', 'organisms']","Title: Different Trypanosoma cruzi Genotypes Trigger Distinct Placental Responses in Infected Mice

Lay Summary:
Chagas disease, caused by Trypanosoma cruzi, can be passed from mother to child, yet little is known about the placenta's genetic response to this infection. This study aimed to understand how different T. cruzi genotypes affect the placental environment.
Researchers infected C57Bl/6J mice with two T. cruzi strains (K98 and VD) and compared gene expression in placentas of infected and uninfected mice using microarray analysis.
Key findings showed distinct placental responses to each strain. VD had a stronger tropism for the placenta, with higher parasite loads. Some pathways were downregulated in both infected groups, while others were upregulated only in VD-infected mice.
These findings suggest that the placenta mounts a genotype-dependent immune response, potentially at the expense of cellular metabolism, to control infection and prevent congenital transmission. Future research could further explore these host responses to better understand congenital T. cruzi infection.

Keywords: Trypanosoma cruzi, Placenta, Genetic Response, Congenital Infection"
Sindbis virus polyarthritis outbreak signalled by virus prevalence in the mosquito vectors,2019,"['invertebrates', 'medicine', 'and', 'health', 'sciences', 'european', 'union', 'togaviruses', 'viral', 'transmission', 'and', 'infection', 'pathology', 'and', 'laboratory', 'medicine', 'pathogens', 'geographical', 'locations', 'microbiology', 'vector-borne', 'diseases', 'animals', 'alphaviruses', 'viral', 'vectors', 'viruses', 'rna', 'viruses', 'sweden', 'flooding', 'insect', 'vectors', 'research', 'and', 'analysis', 'methods', 'hydrology', 'sequence', 'analysis', 'infectious', 'diseases', 'bioinformatics', 'medical', 'microbiology', 'epidemiology', 'microbial', 'pathogens', 'disease', 'vectors', 'insects', 'arthropoda', 'people', 'and', 'places', 'mosquitoes', 'eukaryota', 'dna', 'sequence', 'analysis', 'virology', 'earth', 'sciences', 'viral', 'pathogens', 'database', 'and', 'informatics', 'methods', 'biology', 'and', 'life', 'sciences', 'species', 'interactions', 'europe', 'organisms', 'sindbis', 'virus']","Title: Mosquito Prevalence as a Marker for Sindbis Virus Outbreaks

Lay Summary:
Sindbis virus can cause polyarthritis and rash. In northern Europe, a seven-year outbreak cycle has been hypothesized, but reported human cases may not be reliable. This study aimed to find objective outbreak markers. Mosquitoes were collected from 2001 - 2003 in central Sweden, during pre-outbreak, outbreak, and post-outbreak years. Virus screening and genetic analysis were done.
- In 2002, SINV prevalence increased significantly in both enzootic and bridge-vector mosquitoes.
- All isolates were of SINV genotype I, with four clades locally maintained.
These findings suggest that increased SINV-I prevalence in certain mosquitoes is a valuable outbreak marker. Focused sampling of mosquitoes from mid-July to September can reduce costs and provide reliable virus activity information. This helps evaluate the seven-year cycle hypothesis and understand outbreak mechanisms.

Keywords: Sindbis virus, Mosquitoes, Outbreak marker, Genetic analysis"
Synaptic Learning Rules and Sparse Coding in a Model Sensory System,2008,"['neuroscience/theoretical', 'neuroscience', 'biophysics/theory', 'and', 'simulation', 'neuroscience/sensory', 'systems']","Title: How Synaptic Plasticity Shapes Odor Representations in a Model Sensory System

Lay Summary:
Neural circuits use various strategies to encode information, but how multiple mechanisms interact isn't well understood. The locust olfactory system, where dense signals transform into a sparse representation, offers a great model to study this. The study aimed to explore if plasticity controls synaptic weights in the mushroom body to ensure specific responses to odors. Using a computational model, two forms of synaptic plasticity were compared. Key findings showed that both forms made Kenyon cell responses sparse, specific, and reliable. STDP was more effective than SRDP in storing multiple odors and enhancing discrimination of similar odors. These findings suggest plasticity tunes synaptic weights for optimal odor encoding. This research helps understand how neural coding and plasticity interact, and could guide future studies on sensory processing and memory formation.

Keywords: Olfactory System, Synaptic Plasticity, Odor Representation, Computational Model "
Multi-Organ Expression Profiling Uncovers a Gene Module in Coronary Artery Disease Involving Transendothelial Migration of Leukocytes and LIM Domain Binding 2: The Stockholm Atherosclerosis Gene Expression (STAGE) Study,2009,"['cardiovascular', 'disorders/coronary', 'artery', 'disease', 'computational', 'biology/molecular', 'genetics', 'genetics', 'and', 'genomics/gene', 'expression']","Title: Study Identifies Gene Module and Regulator Linked to Coronary Artery Disease

Lay Summary:
Coronary artery disease (CAD) is complex, influenced by genes and environment. The STAGE study aimed to find functionally associated genes important for CAD.
- Methodology: The study profiled gene expression in five CAD-relevant tissues from 114 patients. Two-way clustering was used to analyze the data.
- Key Findings: An “A-module” of 128 genes strongly associated with atherosclerosis severity was identified. It was enriched with CAD genetic risk and involved the transendothelial migration of leukocytes pathway. LIM domain binding 2 (LDB2) was found to be a potential regulator of this module.
- Implications: These findings suggest the A-module and LDB2 are important in atherosclerosis development. They may help improve understanding of CAD and could potentially lead to new diagnostic markers or treatments.
The study's results highlight the significance of this gene module and regulator in CAD research.

Keywords: Coronary Artery Disease, Gene Module, LDB2, Atherosclerosis, Transendothelial Migration "
Revealing a Two-Loop Transcriptional Feedback Mechanism in the Cyanobacterial Circadian Clock,2013,"['computer', 'science', 'computer', 'modeling', 'theoretical', 'biology', 'biology', 'computational', 'biology']","Title: Uncovering the Two-Loop Transcriptional Feedback Mechanism in the Cyanobacterial Circadian Clock

Lay Summary:
Cyanobacteria have a simple yet unique circadian clock made of three proteins. Understanding how this clock works is important as it may reveal basic principles of biological timing. The study aimed to find out which phospho-states of the KaiC protein promote or suppress the transcription of its own gene, kaiBC.
To do this, a combined model of post-translational oscillator and transcriptional/translational feedback loop was used. The model considered different phospho-states of KaiC and tested 32 combinations of positive and negative transcriptional feedback regulation.
The key finding was that only one particular two-loop feedback mechanism could reproduce experimental results. Threonine and double phosphorylated KaiC hexamers promote kaiBC transcription, while unphosphorylated KaiC hexamers suppress it.
These findings help us better understand the cyanobacterial circadian clock. They also show similarities to clock systems in other organisms, which could guide future research on biological clocks.
In conclusion, this study identified an important feedback mechanism in cyanobacteria's circadian clock, potentially leading to a deeper understanding of biological timing in various organisms.

Keywords: Cyanobacteria, Circadian Clock, KaiC Protein, Transcriptional Feedback, Modeling"
Limited HIV-2 reservoirs in central-memory CD4 T-cells associated to CXCR6 co-receptor expression in attenuated HIV-2 infection,2019,"['blood', 'cells', 'medicine', 'and', 'health', 'sciences', 'immune', 'cells', 'pathology', 'and', 'laboratory', 'medicine', 'pathogens', 'immunology', 'microbiology', 'retroviruses', 'viruses', 'immunodeficiency', 'viruses', 'rna', 'viruses', 'genome', 'analysis', 'coreceptors', 'white', 'blood', 'cells', 'genomics', 'memory', 't', 'cells', 'animal', 'cells', 'medical', 'microbiology', 'hiv', 'microbial', 'pathogens', 't', 'cells', 'hiv-1', 'pathogenesis', 'signal', 'transduction', 'cell', 'biology', 'monocytes', 'viral', 'pathogens', 'transcriptome', 'analysis', 'genetics', 'biology', 'and', 'life', 'sciences', 'cellular', 'types', 'computational', 'biology', 'lentivirus', 'hiv-2', 'organisms']","Title: HIV-2 Reservoirs in Central-Memory CD4 T-cells and Their Association with CXCR6 and TRIM5

Lay Summary:
HIV-2 causes a less pathogenic infection than HIV-1, but the reasons are not well understood. This study aimed to see if HIV-2 reservoirs had a similar distribution to those in attenuated HIV-1/SIV infections.
The researchers analyzed blood samples from 14 HIV-2 infected individuals. They sorted different immune cell types and measured HIV-2 DNA levels.
- HIV-2 DNA was undetectable in monocytes.
- It was quantifiable in TTM from 4 individuals and in TCM from only 1.
- HIV-2 reactivation was seen in cells from 3 individuals.
- TCM had lower CXCR6 and higher TRIM5 expression than TTM.
These findings suggest that HIV-2 reservoirs are different from HIV-1 reservoirs. The lack of monocytic infection and limited TCM infection may be related to CXCR6 and TRIM5, shedding light on HIV-2's low pathogenicity.

Keywords: HIV-2, reservoirs, CD4 T-cells, CXCR6, TRIM5 "
A Unifying Mechanistic Model of Selective Attention in Spiking Neurons,2014,"['circuit', 'models', 'visual', 'system', 'computational', 'neuroscience', 'single', 'neuron', 'function', 'biology', 'and', 'life', 'sciences', 'sensory', 'systems', 'computational', 'biology', 'neuroscience', 'coding', 'mechanisms']","Title: ARC Model Offers New Insights into Selective Attention in Spiking Neurons

Lay Summary:
Visual attention affects how neurons in the cortex work, but a model to explain these effects has been hard to find. The Attentional Routing Circuit (ARC) model was developed to address this. It's described mathematically and built with individual spiking neurons. The model was used to simulate three macaque studies on attention. Results showed it could reproduce effects like receptive field shifting and shrinking, response gain increases, and that the impact on contrast-response functions is better explained as a response-gain effect. ARC unifies these attentional modulations with one mechanism, unlike past models. It also makes testable predictions, such as how spatial attention impacts contrast response functions and the timing of attentional modulation in different cortical areas. This model offers a new way to study visual attention in a more detailed and testable manner. 

Keywords: ARC model, visual attention, spiking neurons, attentional modulation"
Whole Exome Sequencing in Atrial Fibrillation,2016,"['sequencing', 'techniques', 'genome-wide', 'association', 'studies', 'medicine', 'and', 'health', 'sciences', 'pathology', 'and', 'laboratory', 'medicine', 'population', 'genetics', 'alleles', 'gene', 'sequencing', 'genome', 'analysis', 'molecular', 'biology', 'techniques', 'population', 'biology', 'cardiology', 'research', 'and', 'analysis', 'methods', 'arrhythmia', 'atrial', 'fibrillation', 'pathogenesis', 'molecular', 'biology', 'genetic', 'loci', 'genetics', 'biology', 'and', 'life', 'sciences', 'genomics', 'evolutionary', 'biology', 'dna', 'sequencing', 'computational', 'biology', 'human', 'genetics']","Title: Whole Exome Sequencing Sheds Light on Atrial Fibrillation Genetics

Lay Summary:
Atrial fibrillation is a common and heritable heart rhythm disorder. Current treatments are limited, and its genetic causes aren't fully understood. This study aimed to assess the link between coding gene variants and atrial fibrillation and see if such variants were more common in patients with the condition.
Researchers analyzed whole exome sequencing data from over 11,000 people in multiple studies. They looked at common and rare variants.
No common variants were significantly associated with atrial fibrillation after accounting for multiple tests. There were no significant associations between rare variants and the condition either. Also, there was no enrichment of common or rare coding variation in previously suspected atrial fibrillation genes.
These findings suggest that large-effect coding variation isn't the main cause of atrial fibrillation. Future efforts to find genetic causes may need larger samples or specific populations. This could help in understanding the disease better and developing new treatments.

Keywords: Atrial Fibrillation, Whole Exome Sequencing, Genetic Variants, Pathogenesis"
Human Alveolar Echinococcosis in Poland: 1990–2011,2013,['medicine'],"Title: Alveolar Echinococcosis in Poland: A Two-Decade Analysis

Lay Summary:
Alveolar echinococcosis, caused by Echinococcus multilocularis, is a dangerous disease in the Northern Hemisphere. This study aimed to analyze human cases in Poland from 1990 - 2011. Data from registered cases and active surveillance were verified using clinical, epidemiological, and laboratory criteria.
- 121 cases were detected, with a rising detection rate. Most cases were in the 41 - 50 age group, and more women were affected. 19% of patients died.
- AE mainly affected the liver, and spread to other organs in 25.8% of patients.
- Family clusters were found in 4 areas.
- 94 patients received albendazole, and 73 had surgery, including 15 liver transplants.
These findings show AE is emerging in Poland. There's a need for a wider screening program in high-risk areas, increased public awareness, and better training for doctors to detect this disease early.

Keywords: Alveolar Echinococcosis, Poland, Epidemiology, Treatment, Prevention "
Structural and Mechanistic Basis of Zinc Regulation Across the E. coli Zur Regulon,2014,"['crystallographic', 'techniques', 'biomacromolecule-ligand', 'interactions', 'biochemistry', 'structural', 'characterization', 'inorganic', 'chemistry', 'x-ray', 'crystallography', 'bioinorganic', 'chemistry', 'biology', 'and', 'life', 'sciences', 'dna', 'structure', 'dna', 'physical', 'sciences', 'chemistry', 'molecular', 'biology', 'macromolecular', 'structure', 'analysis', 'research', 'and', 'analysis', 'methods']","Title: Unraveling the Molecular Mechanisms of Zinc Regulation in E. coli

Lay Summary:
Zinc is vital for various cellular functions and microbes must adapt to changing zinc levels in the host. This study aimed to understand how the zinc-sensing Zur protein in E. coli coordinates responses to zinc changes at a molecular level. The researchers used X-ray crystallography, mutagenesis, and binding assays. They found that Zur forms a dimer of dimers to bind DNA and repress gene expression. A pair of salt bridges between dimers is crucial for this cooperative binding. A new Zur-regulated gene, pliG, was identified. There's a large variation in Zur-DNA binding affinity among different promoters, which correlates with in vivo repression levels. These findings provide insights into how zinc availability fine-tunes gene expression and could help understand how pathogens respond to host-induced zinc changes.

Keywords: Zinc regulation, Zur protein, E. coli, DNA binding, gene regulation "
A Spatially Explicit Metapopulation Model and Cattle Trade Analysis Suggests Key Determinants for the Recurrent Circulation of Rift Valley Fever Virus in a Pilot Area of Madagascar Highlands,2014,"['ecology', 'and', 'environmental', 'sciences', 'medicine', 'and', 'health', 'sciences', 'spatial', 'epidemiology', 'simulation', 'and', 'modeling', 'rift', 'valley', 'fever', 'population', 'modeling', 'population', 'biology', 'veterinary', 'science', 'mathematical', 'modeling', 'research', 'and', 'analysis', 'methods', 'infectious', 'diseases', 'veterinary', 'diseases', 'zoonoses', 'ecosystems', 'epidemiology', 'infectious', 'disease', 'modeling', 'ecosystem', 'modeling', 'ecology', 'biology', 'and', 'life', 'sciences', 'computational', 'biology']","Title: Understanding the Recurrent Circulation of Rift Valley Fever Virus in Madagascar Highlands

Lay Summary:
Rift Valley fever (RVF) is a mosquito-borne disease affecting ruminants and humans. In Madagascar highlands, despite unfavourable conditions for mosquitoes, RVF virus (RVFV) kept recurring in cattle. The study aimed to find out why. A spatial metapopulation model combined with cattle trade data was used. Three scenarios were analyzed: overwintering through direct cattle transmission, winter vector-based circulation, or a combination. The model with the best fit showed a combination of low-level winter vector-borne transmission and direct transmission when viraemic cows calve. Overall, 84% of cattle infections were due to vector-borne transmission and 16% to direct transmission. Socio-economic practices like cattle trade and agricultural work seem to play a role in RVFV spread. 

Keywords: Rift Valley fever, Madagascar highlands, model, transmission, cattle "
